County,date,deaths,cases,Region,Color
Nassau,2020-03-21T00:00:00Z,4,1234,Long Island,#ff64a5
New York,2020-03-21T00:00:00Z,0,7530,New York City,#c8ff00
Niagara,2020-03-21T00:00:00Z,0,9,Western New York,#979797
Oneida,2020-03-21T00:00:00Z,0,4,Central New York,#d7e1be
Onondaga,2020-03-21T00:00:00Z,0,34,Central New York,#d7e1be
Ontario,2020-03-21T00:00:00Z,0,4,Finger Lakes,#b4ffaa
Orange,2020-03-21T00:00:00Z,0,163,Mid-Hudson,#91bdf0
Putnam,2020-03-21T00:00:00Z,0,31,Mid-Hudson,#91bdf0
Rensselaer,2020-03-21T00:00:00Z,0,20,Capital,#00ffff
Rockland,2020-03-21T00:00:00Z,2,262,Mid-Hudson,#91bdf0
Saratoga,2020-03-21T00:00:00Z,0,35,Capital,#00ffff
Schenectady,2020-03-21T00:00:00Z,0,32,Capital,#00ffff
Steuben,2020-03-21T00:00:00Z,0,2,Finger Lakes,#b4ffaa
Suffolk,2020-03-21T00:00:00Z,3,662,Long Island,#ff64a5
Sullivan,2020-03-21T00:00:00Z,0,12,Mid-Hudson,#91bdf0
Tompkins,2020-03-21T00:00:00Z,0,11,Southern Tier,#ffd900
Ulster,2020-03-21T00:00:00Z,0,18,Mid-Hudson,#91bdf0
Wayne,2020-03-21T00:00:00Z,0,3,Finger Lakes,#b4ffaa
Westchester,2020-03-21T00:00:00Z,0,1387,Mid-Hudson,#91bdf0
Wyoming,2020-03-21T00:00:00Z,0,2,Western New York,#979797
New York State,2020-03-22T00:00:00Z,139,15800,New York State,#7a7a7a
Albany,2020-03-22T00:00:00Z,0,123,Capital,#00ffff
Allegany,2020-03-22T00:00:00Z,0,2,Western New York,#979797
Broome,2020-03-22T00:00:00Z,1,3,Southern Tier,#ffd900
Chenango,2020-03-22T00:00:00Z,0,2,Southern Tier,#ffd900
Clinton,2020-03-22T00:00:00Z,0,4,North Country,#dcc8dc
Columbia,2020-03-22T00:00:00Z,0,17,Capital,#00ffff
Cortland,2020-03-22T00:00:00Z,0,2,Central New York,#d7e1be
Dutchess,2020-03-22T00:00:00Z,1,82,Mid-Hudson,#91bdf0
Erie,2020-03-22T00:00:00Z,0,56,Western New York,#979797
Essex,2020-03-22T00:00:00Z,0,3,North Country,#dcc8dc
Greene,2020-03-22T00:00:00Z,0,2,Capital,#00ffff
Hamilton,2020-03-22T00:00:00Z,0,2,North Country,#dcc8dc
Herkimer,2020-03-22T00:00:00Z,0,3,Mohawk Valley,#ffff00
Livingston,2020-03-22T00:00:00Z,0,2,Finger Lakes,#b4ffaa
Monroe,2020-03-22T00:00:00Z,1,68,Finger Lakes,#b4ffaa
Montgomery,2020-03-22T00:00:00Z,0,3,Mohawk Valley,#ffff00
Nassau,2020-03-22T00:00:00Z,7,1900,Long Island,#ff64a5
New York,2020-03-22T00:00:00Z,10,9654,New York City,#c8ff00
Niagara,2020-03-22T00:00:00Z,0,9,Western New York,#979797
Oneida,2020-03-22T00:00:00Z,0,4,Central New York,#d7e1be
Onondaga,2020-03-22T00:00:00Z,0,45,Central New York,#d7e1be
Ontario,2020-03-22T00:00:00Z,0,4,Finger Lakes,#b4ffaa
Orange,2020-03-22T00:00:00Z,0,247,Mid-Hudson,#91bdf0
Putnam,2020-03-22T00:00:00Z,0,31,Mid-Hudson,#91bdf0
Rensselaer,2020-03-22T00:00:00Z,0,20,Capital,#00ffff
Rockland,2020-03-22T00:00:00Z,3,455,Mid-Hudson,#91bdf0
Saratoga,2020-03-22T00:00:00Z,0,35,Capital,#00ffff
Schenectady,2020-03-22T00:00:00Z,0,32,Capital,#00ffff
Steuben,2020-03-22T00:00:00Z,0,2,Finger Lakes,#b4ffaa
Suffolk,2020-03-22T00:00:00Z,4,1034,Long Island,#ff64a5
Sullivan,2020-03-22T00:00:00Z,0,12,Mid-Hudson,#91bdf0
Tompkins,2020-03-22T00:00:00Z,0,15,Southern Tier,#ffd900
Ulster,2020-03-22T00:00:00Z,0,18,Mid-Hudson,#91bdf0
Wayne,2020-03-22T00:00:00Z,0,3,Finger Lakes,#b4ffaa
Westchester,2020-03-22T00:00:00Z,1,1873,Mid-Hudson,#91bdf0
Wyoming,2020-03-22T00:00:00Z,0,2,Western New York,#979797
New York State,2020-03-23T00:00:00Z,192,20884,New York State,#7a7a7a
Albany,2020-03-23T00:00:00Z,0,127,Capital,#00ffff
Allegany,2020-03-23T00:00:00Z,0,2,Western New York,#979797
Broome,2020-03-23T00:00:00Z,1,3,Southern Tier,#ffd900
Chemung,2020-03-23T00:00:00Z,0,2,Finger Lakes,#b4ffaa
Chenango,2020-03-23T00:00:00Z,0,2,Southern Tier,#ffd900
Clinton,2020-03-23T00:00:00Z,0,4,North Country,#dcc8dc
Columbia,2020-03-23T00:00:00Z,0,17,Capital,#00ffff
Cortland,2020-03-23T00:00:00Z,0,2,Central New York,#d7e1be
Dutchess,2020-03-23T00:00:00Z,1,100,Mid-Hudson,#91bdf0
Erie,2020-03-23T00:00:00Z,0,87,Western New York,#979797
Essex,2020-03-23T00:00:00Z,0,3,North Country,#dcc8dc
Greene,2020-03-23T00:00:00Z,0,2,Capital,#00ffff
Hamilton,2020-03-23T00:00:00Z,0,2,North Country,#dcc8dc
Herkimer,2020-03-23T00:00:00Z,0,3,Mohawk Valley,#ffff00
Livingston,2020-03-23T00:00:00Z,0,2,Finger Lakes,#b4ffaa
Monroe,2020-03-23T00:00:00Z,2,81,Finger Lakes,#b4ffaa
Montgomery,2020-03-23T00:00:00Z,0,3,Mohawk Valley,#ffff00
Nassau,2020-03-23T00:00:00Z,7,2442,Long Island,#ff64a5
New York,2020-03-23T00:00:00Z,19,12305,New York City,#c8ff00
Niagara,2020-03-23T00:00:00Z,0,9,Western New York,#979797
Oneida,2020-03-23T00:00:00Z,0,5,Central New York,#d7e1be
Onondaga,2020-03-23T00:00:00Z,0,53,Central New York,#d7e1be
Ontario,2020-03-23T00:00:00Z,0,4,Finger Lakes,#b4ffaa
Orange,2020-03-23T00:00:00Z,0,389,Mid-Hudson,#91bdf0
Oswego,2020-03-23T00:00:00Z,0,2,Central New York,#d7e1be
Putnam,2020-03-23T00:00:00Z,0,31,Mid-Hudson,#91bdf0
Rensselaer,2020-03-23T00:00:00Z,0,20,Capital,#00ffff
Rockland,2020-03-23T00:00:00Z,3,592,Mid-Hudson,#91bdf0
Saratoga,2020-03-23T00:00:00Z,0,35,Capital,#00ffff
Schenectady,2020-03-23T00:00:00Z,0,32,Capital,#00ffff
Steuben,2020-03-23T00:00:00Z,0,4,Finger Lakes,#b4ffaa
Suffolk,2020-03-23T00:00:00Z,4,1458,Long Island,#ff64a5
Sullivan,2020-03-23T00:00:00Z,0,12,Mid-Hudson,#91bdf0
Tompkins,2020-03-23T00:00:00Z,0,15,Southern Tier,#ffd900
Ulster,2020-03-23T00:00:00Z,0,18,Mid-Hudson,#91bdf0
Wayne,2020-03-23T00:00:00Z,0,3,Finger Lakes,#b4ffaa
Westchester,2020-03-23T00:00:00Z,1,2894,Mid-Hudson,#91bdf0
Wyoming,2020-03-23T00:00:00Z,0,2,Western New York,#979797
New York State,2020-03-24T00:00:00Z,284,25681,New York State,#7a7a7a
Albany,2020-03-24T00:00:00Z,0,146,Capital,#00ffff
Allegany,2020-03-24T00:00:00Z,0,2,Western New York,#979797
